shopid,time,count
1,2016/6/22,10
1,2016/6/23,18
1,2016/6/24,5
1,2016/6/25,22
1,2016/6/26,15
1,2016/6/27,12
1,2016/6/28,12
1,2016/6/29,16
1,2016/6/30,19
1,2016/7/1,19
1,2016/7/2,15
1,2016/7/3,12
1,2016/7/4,11
1,2016/7/5,17
1,2016/7/6,18
1,2016/7/7,27
1,2016/7/8,30
1,2016/7/9,25
1,2016/7/10,33
1,2016/7/11,27
1,2016/7/12,10
1,2016/7/13,24
1,2016/7/14,23
1,2016/7/15,25
1,2016/7/16,28
1,2016/7/17,24
1,2016/7/18,43
1,2016/7/19,33
1,2016/7/20,36
1,2016/7/21,38
1,2016/7/23,34
1,2016/7/24,29
1,2016/7/26,40
1,2016/7/27,45
1,2016/7/28,33
1,2016/7/29,21
1,2016/7/30,29
1,2016/7/31,23
1,2016/8/1,25
1,2016/8/2,28
1,2016/8/3,33
1,2016/8/4,26
1,2016/8/5,17
1,2016/8/6,17
1,2016/8/7,34
1,2016/8/8,45
1,2016/8/9,50
1,2016/8/10,30
1,2016/8/11,30
1,2016/8/12,24
1,2016/8/13,31
1,2016/8/14,28
1,2016/8/15,23
1,2016/8/16,23
1,2016/8/17,28
1,2016/8/18,29
1,2016/8/19,26
1,2016/8/20,22
1,2016/8/21,20
1,2016/8/22,33
1,2016/8/23,24
1,2016/8/24,76
1,2016/8/25,62
1,2016/8/26,64
1,2016/8/27,44
1,2016/8/28,66
1,2016/8/29,75
1,2016/8/30,61
1,2016/8/31,59
1,2016/9/1,165
1,2016/9/2,131
1,2016/9/3,115
1,2016/9/4,115
1,2016/9/5,131
1,2016/9/6,102
1,2016/9/7,66
1,2016/9/8,100
1,2016/9/9,90
1,2016/9/10,85
1,2016/9/11,68
1,2016/9/12,92
1,2016/9/13,87
1,2016/9/14,141
1,2016/9/15,88
1,2016/9/16,100
1,2016/9/17,62
1,2016/9/18,123
1,2016/9/19,44
1,2016/9/20,31
1,2016/9/21,20
1,2016/9/22,22
1,2016/9/23,31
1,2016/9/24,25
1,2016/9/25,18
1,2016/9/26,25
1,2016/9/27,23
1,2016/9/28,30
1,2016/9/29,24
1,2016/9/30,33
1,2016/10/1,40
1,2016/10/2,43
1,2016/10/3,47
1,2016/10/4,35
1,2016/10/5,33
1,2016/10/6,43
1,2016/10/7,35
1,2016/10/8,36
1,2016/10/9,35
1,2016/10/10,31
1,2016/10/11,45
1,2016/10/12,42
1,2016/10/13,26
1,2016/10/14,35
1,2016/10/15,30
1,2016/10/16,20
1,2016/10/17,25
1,2016/10/18,23
1,2016/10/19,29
1,2016/10/20,24
1,2016/10/21,20
1,2016/10/22,27
1,2016/10/23,25
1,2016/10/24,19
1,2016/10/25,21
1,2016/10/26,23
1,2016/10/27,24
1,2016/10/28,21
1,2016/10/29,32
1,2016/10/30,40
1,2016/10/31,14
2,2016/6/22,89
2,2016/6/23,278
2,2016/6/24,816
2,2016/6/25,546
2,2016/6/26,75
2,2016/6/27,34
2,2016/6/28,60
2,2016/6/29,55
2,2016/6/30,42
2,2016/7/1,50
2,2016/7/2,61
2,2016/7/3,36
2,2016/7/4,37
2,2016/7/5,29
2,2016/7/6,37
2,2016/7/7,28
2,2016/7/8,40
2,2016/7/9,37
2,2016/7/10,33
2,2016/7/11,36
2,2016/7/12,30
2,2016/7/13,27
2,2016/7/14,31
2,2016/7/15,27
2,2016/7/16,36
2,2016/7/17,32
2,2016/7/18,26
2,2016/7/19,33
2,2016/7/20,24
2,2016/7/21,28
2,2016/7/23,41
2,2016/7/24,26
2,2016/7/26,31
2,2016/7/27,34
2,2016/7/28,30
2,2016/7/29,23
2,2016/7/30,16
2,2016/7/31,24
2,2016/8/1,36
2,2016/8/2,28
2,2016/8/3,29
2,2016/8/4,21
2,2016/8/5,35
2,2016/8/6,34
2,2016/8/7,33
2,2016/8/8,54
2,2016/8/9,25
2,2016/8/10,42
2,2016/8/11,20
2,2016/8/12,23
2,2016/8/13,40
2,2016/8/14,41
2,2016/8/15,37
2,2016/8/16,38
2,2016/8/17,40
2,2016/8/18,30
2,2016/8/19,37
2,2016/8/20,40
2,2016/8/21,58
2,2016/8/22,34
2,2016/8/23,42
2,2016/8/24,34
2,2016/8/25,52
2,2016/8/26,54
2,2016/8/27,47
2,2016/8/28,47
2,2016/8/29,49
2,2016/8/30,34
2,2016/8/31,30
2,2016/9/1,32
2,2016/9/2,40
2,2016/9/3,47
2,2016/9/4,63
2,2016/9/5,35
2,2016/9/6,31
2,2016/9/7,24
2,2016/9/8,44
2,2016/9/9,33
2,2016/9/10,46
2,2016/9/11,45
2,2016/9/12,40
2,2016/9/13,37
2,2016/9/14,33
2,2016/9/15,49
2,2016/9/16,33
2,2016/9/17,54
2,2016/9/18,19
2,2016/9/19,33
2,2016/9/20,26
2,2016/9/21,30
2,2016/9/22,30
2,2016/9/23,28
2,2016/9/24,40
2,2016/9/25,40
2,2016/9/26,29
2,2016/9/27,25
2,2016/9/28,28
2,2016/9/29,20
2,2016/9/30,37
2,2016/10/1,43
2,2016/10/2,30
2,2016/10/3,31
2,2016/10/4,31
2,2016/10/5,27
2,2016/10/6,27
2,2016/10/7,23
2,2016/10/8,27
2,2016/10/9,39
2,2016/10/10,32
2,2016/10/11,27
2,2016/10/12,25
2,2016/10/13,23
2,2016/10/14,25
2,2016/10/15,33
2,2016/10/16,30
2,2016/10/17,23
2,2016/10/18,26
2,2016/10/19,32
2,2016/10/20,23
2,2016/10/21,25
2,2016/10/22,28
2,2016/10/23,25
2,2016/10/24,9
2,2016/10/25,12
2,2016/10/26,10
2,2016/10/27,16
2,2016/10/28,11
2,2016/10/29,29
2,2016/10/30,41
2,2016/10/31,28
3,2016/6/22,3
3,2016/6/23,1
3,2016/6/24,7
3,2016/6/25,19
3,2016/6/26,8
3,2016/6/27,3
3,2016/6/28,3
3,2016/6/29,3
3,2016/6/30,7
3,2016/7/1,1
3,2016/7/2,3
3,2016/7/3,7
3,2016/7/4,3
3,2016/7/5,3
3,2016/7/6,2
3,2016/7/7,8
3,2016/7/8,2
3,2016/7/9,2
3,2016/7/10,6
3,2016/7/11,5
3,2016/7/12,4
3,2016/7/13,3
3,2016/7/14,2
3,2016/7/15,3
3,2016/7/16,11
3,2016/7/17,4
3,2016/7/18,2
3,2016/7/19,1
3,2016/7/20,10
3,2016/7/21,6
3,2016/7/23,7
3,2016/7/24,5
3,2016/7/26,1
3,2016/7/27,4
3,2016/7/28,2
3,2016/7/29,5
3,2016/7/30,6
3,2016/7/31,5
3,2016/8/1,5
3,2016/8/2,4
3,2016/8/3,3
3,2016/8/5,1
3,2016/8/6,3
3,2016/8/7,1
3,2016/8/8,9
3,2016/8/9,3
3,2016/8/10,3
3,2016/8/11,3
3,2016/8/12,6
3,2016/8/13,4
3,2016/8/14,4
3,2016/8/15,1
3,2016/8/16,3
3,2016/8/17,3
3,2016/8/18,2
3,2016/8/19,4
3,2016/8/20,8
3,2016/8/21,2
3,2016/8/22,1
3,2016/8/23,1
3,2016/8/24,4
3,2016/8/25,5
3,2016/8/26,4
3,2016/8/27,2
3,2016/8/28,2
3,2016/8/30,2
3,2016/8/31,3
3,2016/9/1,1
3,2016/9/2,5
3,2016/9/3,4
3,2016/9/4,4
3,2016/9/5,7
3,2016/9/7,3
3,2016/9/9,10
3,2016/9/10,2
3,2016/9/11,2
3,2016/9/12,4
3,2016/9/14,3
3,2016/9/16,4
3,2016/9/17,6
3,2016/9/18,2
3,2016/9/19,5
3,2016/9/20,6
3,2016/9/22,4
3,2016/9/23,2
3,2016/9/24,3
3,2016/9/25,8
3,2016/9/26,2
3,2016/9/27,2
3,2016/9/28,4
3,2016/9/29,4
3,2016/9/30,11
3,2016/10/1,12
3,2016/10/2,3
3,2016/10/3,12
3,2016/10/4,10
3,2016/10/5,7
3,2016/10/6,13
3,2016/10/7,15
