area,date,topTemp,lowTemp,weather,wind,windStrength,weather_level
三明,2015/1/1,16,1,晴,东北风,小于3级,0
三明,2015/1/2,18,4,晴,东风,小于3级,0
三明,2015/1/3,22,7,晴转多云,东南风,小于3级,0
三明,2015/1/4,22,7,多云转阴,北风,小于3级,0
三明,2015/1/5,18,12,阴转小雨,北风,小于3级,0
三明,2015/1/6,15,10,小雨转阴,西南风,小于3级,0
三明,2015/1/7,15,4,多云转晴,东北风,小于3级,0
三明,2015/1/8,17,4,晴转多云,东北风,小于3级,0
三明,2015/1/9,14,6,多云转阴,东南风,小于3级,0
三明,2015/1/10,15,8,阴,东北风,小于3级,0
三明,2015/1/11,13,8,阴转小雨,东北风,小于3级,0
三明,2015/1/12,9,6,小雨转中雨,东北风,小于3级,0
三明,2015/1/13,12,6,小雨转阴,西风,小于3级,0
三明,2015/1/14,16,4,多云转晴,东风,小于3级,0
三明,2015/1/15,16,4,晴,东北风,小于3级,0
三明,2015/1/16,16,4,多云,东北风,小于3级,0
三明,2015/1/17,16,5,晴,东风,小于3级,0
三明,2015/1/18,17,5,多云转晴,东北风,小于3级,0
三明,2015/1/19,18,5,晴转多云,北风,小于3级,0
三明,2015/1/20,17,7,小雨转多云,东南风,小于3级,0
三明,2015/1/21,18,4,晴,东风,小于3级,0
三明,2015/1/22,20,3,晴,东北风,小于3级,0
三明,2015/1/23,21,4,晴转多云,北风,小于3级,0
三明,2015/1/24,21,8,阴转小雨,南风,小于3级,0
三明,2015/1/25,18,12,小雨,东北风,小于3级,0
三明,2015/1/26,18,14,小雨,东北风,小于3级,0
三明,2015/1/27,18,12,小雨转阴,东风,小于3级,0
三明,2015/1/28,18,10,阴转多云,东北风,小于3级,0
三明,2015/1/29,17,9,小雨,西风,小于3级,0
三明,2015/1/30,14,6,阴转多云,东北风,小于3级,0
三明,2015/1/31,12,6,阴转多云,东北风,小于3级,0
三明,2015/2/1,13,7,阴,东北风,小于3级,0
三明,2015/2/2,14,9,阴,东北风,小于3级,0
三明,2015/2/3,13,7,阴,东北风,小于3级,0
三明,2015/2/4,11,4,阴转多云,东风,小于3级,0
三明,2015/2/5,15,2,多云,东北风,小于3级,0
三明,2015/2/6,17,3,多云,东北风,小于3级,0
三明,2015/2/7,15,4,阴转多云,西风,小于3级,0
三明,2015/2/8,16,3,晴转多云,东北风,小于3级,0
三明,2015/2/9,16,3,晴转多云,东北风,小于3级,0
三明,2015/2/10,16,5,阴转多云,东北风,小于3级,0
三明,2015/2/11,16,5,阴转多云,东北风,小于3级,0
三明,2015/2/12,16,5,阴转多云,东北风,小于3级,0
三明,2015/2/13,22,7,多云,东风,小于3级,0
三明,2015/2/14,16,11,小雨转小到中雨,东北风,小于3级,0
三明,2015/2/15,20,10,小雨转阴,东风,小于3级,0
三明,2015/2/16,22,11,多云转小雨,北风,小于3级,0
三明,2015/2/17,19,13,多云转小雨,东南风,小于3级,0
三明,2015/2/18,18,11,小雨转阴,东北风,小于3级,0
三明,2015/2/19,23,11,多云,东风,小于3级,0
三明,2015/2/20,20,12,多云转大雨,东风,小于3级,0
三明,2015/2/21,19,13,小雨,暂无实况,小于3级,0
三明,2015/2/22,19,15,小雨,北风,小于3级,0
三明,2015/2/23,22,15,小雨,东风,小于3级,0
三明,2015/2/24,25,15,阴转小雨,东北风,小于3级,0
三明,2015/2/25,25,16,小雨,东风,小于3级,0
三明,2015/2/26,30,16,阴转多云,东北风,小于3级,0
三明,2015/2/27,24,16,阴转小雨,东风,小于3级,0
